model,year,target,names,values
rfr,2020,wdi2-SP.POP.GROW,wdi2-NE.DAB.TOTL.CN,0.010800416830915023
rfr,2020,wdi2-SP.POP.GROW,wdi2-NY.GDY.TOTL.KN,0.009167153353973296
rfr,2020,wdi2-SP.POP.GROW,wdi2-SP.POP.TOTL,0.009356822395498038
rfr,2020,wdi2-SP.POP.GROW,wdi2-SP.RUR.TOTL,0.011624354488830287
rfr,2020,wdi2-SP.POP.GROW,wdi2-SP.RUR.TOTL.ZS,0.012851646142815778
rfr,2020,wdi2-SP.POP.GROW,wdi2-SP.URB.GROW,0.9058792054941219
rfr,2020,wdi2-SP.POP.GROW,wdi2-SP.URB.TOTL,0.008896483987372833
rfr,2020,wdi2-SP.POP.GROW,wdi2-SP.URB.TOTL.IN.ZS,0.01498802518554741
rfr,2020,wdi2-SP.POP.GROW,wdi-IT.NET.SECR.P6,0.012225677083149597
rfr,2020,wdi2-SP.POP.GROW,wdi2-SE.PRM.DURS,0.004210215037775763
rfr,2020,wdi2-SP.POP.TOTL,wdi2-NY.GDP.MKTP.CN,0.005347201001605361
rfr,2020,wdi2-SP.POP.TOTL,wdi2-SP.POP.GROW,0.0022613454218532057
rfr,2020,wdi2-SP.POP.TOTL,wdi2-SP.RUR.TOTL,0.6666411568615416
rfr,2020,wdi2-SP.POP.TOTL,wdi2-SP.RUR.TOTL.ZS,0.0037609193073857984
rfr,2020,wdi2-SP.POP.TOTL,wdi2-SP.URB.GROW,0.0025894172491429538
rfr,2020,wdi2-SP.POP.TOTL,wdi2-SP.URB.TOTL,0.3091423796654543
rfr,2020,wdi2-SP.POP.TOTL,wdi2-SP.URB.TOTL.IN.ZS,0.0033463396000572103
rfr,2020,wdi2-SP.POP.TOTL,wdi-IT.NET.SECR.P6,0.003690594428843594
rfr,2020,wdi2-SP.POP.TOTL,wdi2-SE.PRM.DURS,7.920523798088738e-05
rfr,2020,wdi2-SP.POP.TOTL,wdi2-SP.RUR.TOTL.ZG,0.003141441226135111
rfr,2020,wdi-IT.NET.SECR.P6,wdi2-NY.GDP.MKTP.CN,0.05678803247658721
rfr,2020,wdi-IT.NET.SECR.P6,wdi2-SP.POP.GROW,0.05669235848007449
rfr,2020,wdi-IT.NET.SECR.P6,wdi2-SP.POP.TOTL,0.2343585206155962
rfr,2020,wdi-IT.NET.SECR.P6,wdi2-SP.RUR.TOTL,0.07379607669609776
rfr,2020,wdi-IT.NET.SECR.P6,wdi2-SP.RUR.TOTL.ZS,0.05973957997757648
rfr,2020,wdi-IT.NET.SECR.P6,wdi2-SP.URB.GROW,0.0901688540089326
rfr,2020,wdi-IT.NET.SECR.P6,wdi2-SP.URB.TOTL,0.09733189652615767
rfr,2020,wdi-IT.NET.SECR.P6,wdi2-SP.URB.TOTL.IN.ZS,0.169062188090135
rfr,2020,wdi-IT.NET.SECR.P6,wdi2-SE.PRM.DURS,0.06608076777693646
rfr,2020,wdi-IT.NET.SECR.P6,wdi2-SP.RUR.TOTL.ZG,0.09598172535190619
rfr,2020,wdi2-SP.RUR.TOTL,wdi2-NY.GDP.MKTP.CN,0.0065196458860357605
rfr,2020,wdi2-SP.RUR.TOTL,wdi2-SP.POP.GROW,0.0029573322587291492
rfr,2020,wdi2-SP.RUR.TOTL,wdi2-SP.POP.TOTL,0.8829445644086118
rfr,2020,wdi2-SP.RUR.TOTL,wdi2-SP.RUR.TOTL.ZS,0.0036883187157571145
rfr,2020,wdi2-SP.RUR.TOTL,wdi2-SP.URB.GROW,0.0024445871604690107
rfr,2020,wdi2-SP.RUR.TOTL,wdi2-SP.URB.TOTL,0.08731566300273719
rfr,2020,wdi2-SP.RUR.TOTL,wdi2-SP.URB.TOTL.IN.ZS,0.004395890358622198
rfr,2020,wdi2-SP.RUR.TOTL,wdi-IT.NET.SECR.P6,0.005450663936155245
rfr,2020,wdi2-SP.RUR.TOTL,wdi2-SE.PRM.DURS,0.00026618848595677704
rfr,2020,wdi2-SP.RUR.TOTL,wdi2-SP.RUR.TOTL.ZG,0.00401714578692574
rfr,2020,wdi2-SP.RUR.TOTL.ZS,wdi2-NY.GDP.MKTP.CN,4.4797920201614646e-05
rfr,2020,wdi2-SP.RUR.TOTL.ZS,wdi2-SP.POP.GROW,4.619856008223747e-05
rfr,2020,wdi2-SP.RUR.TOTL.ZS,wdi2-SP.POP.TOTL,3.16464080127804e-05
rfr,2020,wdi2-SP.RUR.TOTL.ZS,wdi2-SP.RUR.TOTL,9.728990472195605e-05
rfr,2020,wdi2-SP.RUR.TOTL.ZS,wdi2-SP.URB.GROW,3.6226602261150004e-05
rfr,2020,wdi2-SP.RUR.TOTL.ZS,wdi2-SP.URB.TOTL,3.396416279005493e-05
rfr,2020,wdi2-SP.RUR.TOTL.ZS,wdi2-SP.URB.TOTL.IN.ZS,0.9995868183751755
rfr,2020,wdi2-SP.RUR.TOTL.ZS,wdi-IT.NET.SECR.P6,4.7893032112426105e-05
rfr,2020,wdi2-SP.RUR.TOTL.ZS,wdi2-SE.PRM.DURS,2.4638323083423706e-05
rfr,2020,wdi2-SP.RUR.TOTL.ZS,wdi2-SP.RUR.TOTL.ZG,5.052671155901595e-05
rfr,2020,wdi2-SP.URB.GROW,wdi2-NY.GDP.MKTP.CN,0.007951457360274413
rfr,2020,wdi2-SP.URB.GROW,wdi2-SP.POP.GROW,0.9082283088023859
rfr,2020,wdi2-SP.URB.GROW,wdi2-SP.POP.TOTL,0.007108075639273451
rfr,2020,wdi2-SP.URB.GROW,wdi2-SP.RUR.TOTL,0.011722385956221036
rfr,2020,wdi2-SP.URB.GROW,wdi2-SP.RUR.TOTL.ZS,0.014505587600032592
rfr,2020,wdi2-SP.URB.GROW,wdi2-SP.URB.TOTL,0.004836279511288185
rfr,2020,wdi2-SP.URB.GROW,wdi2-SP.URB.TOTL.IN.ZS,0.013946172550930822
rfr,2020,wdi2-SP.URB.GROW,wdi-IT.NET.SECR.P6,0.018195391994025468
rfr,2020,wdi2-SP.URB.GROW,wdi2-SE.PRM.DURS,0.002699314649689978
rfr,2020,wdi2-SP.URB.GROW,wdi2-SP.RUR.TOTL.ZG,0.01080702593587813
rfr,2020,wdi2-SP.URB.TOTL,wdi2-NY.GDP.MKTP.CN,0.006282120691098856
rfr,2020,wdi2-SP.URB.TOTL,wdi2-SP.POP.GROW,0.004444031661217378
rfr,2020,wdi2-SP.URB.TOTL,wdi2-SP.POP.TOTL,0.7797585843537344
rfr,2020,wdi2-SP.URB.TOTL,wdi2-SP.RUR.TOTL,0.18515140314753445
rfr,2020,wdi2-SP.URB.TOTL,wdi2-SP.RUR.TOTL.ZS,0.002674258450314024
rfr,2020,wdi2-SP.URB.TOTL,wdi2-SP.URB.GROW,0.004053598801024492
rfr,2020,wdi2-SP.URB.TOTL,wdi2-SP.URB.TOTL.IN.ZS,0.004913467078296977
rfr,2020,wdi2-SP.URB.TOTL,wdi-IT.NET.SECR.P6,0.004931200595870953
rfr,2020,wdi2-SP.URB.TOTL,wdi2-SE.PRM.DURS,0.0002441335723312138
rfr,2020,wdi2-SP.URB.TOTL,wdi2-SP.RUR.TOTL.ZG,0.007547201648577359
rfr,2020,wdi2-SP.URB.TOTL.IN.ZS,wdi2-NY.GDP.MKTP.CN,4.2468371182251975e-05
rfr,2020,wdi2-SP.URB.TOTL.IN.ZS,wdi2-SP.POP.GROW,5.119056698672012e-05
rfr,2020,wdi2-SP.URB.TOTL.IN.ZS,wdi2-SP.POP.TOTL,3.5149103720378774e-05
rfr,2020,wdi2-SP.URB.TOTL.IN.ZS,wdi2-SP.RUR.TOTL,0.00010555578216217825
rfr,2020,wdi2-SP.URB.TOTL.IN.ZS,wdi2-SP.RUR.TOTL.ZS,0.9995596804829852
rfr,2020,wdi2-SP.URB.TOTL.IN.ZS,wdi2-SP.URB.GROW,4.106501454577931e-05
rfr,2020,wdi2-SP.URB.TOTL.IN.ZS,wdi2-SP.URB.TOTL,3.334525986745482e-05
rfr,2020,wdi2-SP.URB.TOTL.IN.ZS,wdi-IT.NET.SECR.P6,4.9915530170898806e-05
rfr,2020,wdi2-SP.URB.TOTL.IN.ZS,wdi2-SE.PRM.DURS,2.6969431574281607e-05
rfr,2020,wdi2-SP.URB.TOTL.IN.ZS,wdi2-SP.RUR.TOTL.ZG,5.466045680483265e-05
rfr,2020,wdi2-SE.PRM.DURS,wdi2-NY.GDP.MKTP.CN,0.12288647379612376
rfr,2020,wdi2-SE.PRM.DURS,wdi-IT.NET.SECR.P6,0.05283811762291734
rfr,2020,wdi2-SE.PRM.DURS,wdi2-SP.POP.GROW,0.08615183025432373
rfr,2020,wdi2-SE.PRM.DURS,wdi2-SP.POP.TOTL,0.02252731191030928
rfr,2020,wdi2-SE.PRM.DURS,wdi2-SP.RUR.TOTL,0.02233441616071312
rfr,2020,wdi2-SE.PRM.DURS,wdi2-SP.RUR.TOTL.ZS,0.03174523708065364
rfr,2020,wdi2-SE.PRM.DURS,wdi2-SP.URB.GROW,0.047769224088743394
rfr,2020,wdi2-SE.PRM.DURS,wdi2-SP.URB.TOTL,0.029130521086805482
rfr,2020,wdi2-SE.PRM.DURS,wdi2-SP.URB.TOTL.IN.ZS,0.030082609440580953
rfr,2020,wdi2-SE.PRM.DURS,wdi2-SE.SEC.DURS,0.5545342585588292
rfr,2020,wdi2-SP.RUR.TOTL.ZG,wdi2-NY.GDP.MKTP.CN,0.0244986246789224
rfr,2020,wdi2-SP.RUR.TOTL.ZG,wdi2-SP.POP.GROW,0.4316490358390585
rfr,2020,wdi2-SP.RUR.TOTL.ZG,wdi2-SP.POP.TOTL,0.016137284651070696
rfr,2020,wdi2-SP.RUR.TOTL.ZG,wdi2-SP.RUR.TOTL,0.04929297111180872
rfr,2020,wdi2-SP.RUR.TOTL.ZG,wdi2-SP.RUR.TOTL.ZS,0.17749862991251894
rfr,2020,wdi2-SP.RUR.TOTL.ZG,wdi2-SP.URB.GROW,0.050506356860523134
rfr,2020,wdi2-SP.RUR.TOTL.ZG,wdi2-SP.URB.TOTL,0.016825941851818575
rfr,2020,wdi2-SP.RUR.TOTL.ZG,wdi2-SP.URB.TOTL.IN.ZS,0.17839093589396238
rfr,2020,wdi2-SP.RUR.TOTL.ZG,wdi-IT.NET.SECR.P6,0.03745257372992761
rfr,2020,wdi2-SP.RUR.TOTL.ZG,wdi2-SE.PRM.DURS,0.01774764547038908
